length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,999,0.0003342628479003,4932,0.0003762245178222
2000,1999,0.0006308555603027,10864,0.0007972717285156
3000,2999,0.0009295940399169,16828,0.0011618137359619
4000,3999,0.0011911392211914,23728,0.0015668869018554
5000,4999,0.0014998912811279,29804,0.0019710063934326
6000,5999,0.0017821788787841,36656,0.002385139465332
7000,6999,0.0021088123321533,43628,0.0027852058410644
8000,7999,0.0023727416992187,51456,0.0031969547271728
9000,8999,0.0027432441711425,57820,0.0036489963531494
