length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,246826,0.0015380382537841,8716,0.0004711151123046
2000,1001425,0.0052909851074218,19406,0.0009667873382568
3000,2223743,0.0113449096679687,30886,0.001622200012207
4000,3988458,0.019784927368164,42832,0.0021650791168212
5000,6201879,0.0303239822387695,55170,0.0025620460510253
6000,9038861,0.0435030460357666,67774,0.0030868053436279
7000,12072560,0.0579841136932373,80665,0.003756046295166
8000,15938694,0.0768272876739502,93665,0.0041847229003906
9000,20474765,0.0979039669036865,106954,0.0048079490661621
