length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,25115365,0.1199839115142822,120395,0.0050060749053955
20000,100180392,0.4723489284515381,260832,0.0120470523834228
30000,225027275,1.065173864364624,408543,0.0163238048553466
40000,400545490,1.8738372325897217,561910,0.0213370323181152
50000,622514383,2.917386293411255,717948,0.0270781517028808
60000,901584954,4.25378680229187,877220,0.0329341888427734
70000,1230282575,5.7783522605896,1038832,0.0376629829406738
80000,1604878105,7.508787870407104,1203737,0.0432741641998291
90000,2026510948,9.480345010757446,1369088,0.0497090816497802
