length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,49995000,0.1495907306671142,69008,0.0070331096649169
20000,199990000,0.5667538642883301,148016,0.0
30000,449985000,1.2720255851745603,227728,0.0156207084655761
40000,799980000,2.239385843276977,316032,0.0156216621398925
50000,1249975000,3.5425267219543457,401952,0.015622854232788
60000,1799970000,5.079488754272461,485456,0.0156219005584716
70000,-1845002296,6.884518623352051,573728,0.0156221389770507
80000,-1095007296,9.04688310623169,672064,0.0156214237213134
90000,-245012296,11.574838638305664,765248,0.0156216621398925
