length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,9999,0.0029177665710449,64608,0.0039730072021484
20000,19999,0.0057790279388427,139216,0.0082290172576904
30000,29999,0.0086829662322998,219504,0.0123600959777832
40000,39999,0.0116779804229736,298432,0.0166168212890625
50000,49999,0.0147078037261962,382512,0.021000862121582
60000,59999,0.018082857131958,469008,0.0251030921936035
70000,69999,0.0211691856384277,555200,0.0297567844390869
80000,79999,0.0257279872894287,636864,0.0352377891540527
90000,89999,0.0281176567077636,723680,0.0394091606140136
