length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,499500,0.0026721954345703,5044,0.000403881072998
2000,1999000,0.0098700523376464,11088,0.0008070468902587
3000,4498500,0.0222649574279785,18076,0.001371145248413
4000,7998000,0.0381598472595214,24176,0.0016841888427734
5000,12497500,0.0592360496520996,32004,0.0021860599517822
6000,17997000,0.0849747657775878,39152,0.0026869773864746
7000,24496500,0.1152279376983642,46180,0.0030913352966308
8000,31996000,0.1502730846405029,52352,0.0034961700439453
9000,40495500,0.1899161338806152,60796,0.0039980411529541
