length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,499500,0.0026428699493408,5044,0.0003750324249267
2000,1999000,0.0098669528961181,11088,0.0007600784301757
3000,4498500,0.0216388702392578,18076,0.0011570453643798
4000,7998000,0.0379912853240966,24176,0.0015530586242675
5000,12497500,0.0589711666107177,32004,0.0019712448120117
6000,17997000,0.0845417976379394,39152,0.0023567676544189
7000,24496500,0.1147949695587158,46180,0.0028889179229736
8000,31996000,0.1495149135589599,52352,0.0031640529632568
9000,40495500,0.1908588409423828,60796,0.0037367343902587
