length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,999,0.000331163406372,4932,0.0003750324249267
2000,1999,0.0006220340728759,10864,0.0007662773132324
3000,2999,0.0008831024169921,16828,0.0011570453643798
4000,3999,0.0011868476867675,23728,0.0015528202056884
5000,4999,0.0014662742614746,29804,0.0019450187683105
6000,5999,0.0018630027770996,36656,0.0024001598358154
7000,6999,0.0020427703857421,43628,0.0027821063995361
8000,7999,0.0023469924926757,51456,0.0031912326812744
9000,8999,0.0026252269744873,57820,0.0035822391510009
