length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,9999,0.0029120445251464,64608,0.0039751529693603
20000,19999,0.0057852268218994,139216,0.0080933570861816
30000,29999,0.0088469982147216,219504,0.0127820968627929
40000,39999,0.0124881267547607,298432,0.0174567699432373
50000,49999,0.014765977859497,382512,0.0212008953094482
60000,59999,0.0181429386138916,469008,0.025033950805664
70000,69999,0.0217030048370361,555200,0.0305180549621582
80000,79999,0.0243458747863769,636864,0.0341570377349853
90000,89999,0.027261734008789,723680,0.0382788181304931
