length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,25295805,0.1207139492034912,120466,0.0049538612365722
20000,100628025,0.4737308025360107,260972,0.0104589462280273
30000,224479692,1.051951885223389,408452,0.0155179500579833
40000,399653313,1.8739221096038816,561879,0.0209250450134277
50000,625419445,2.930016040802002,718326,0.0264959335327148
60000,901125217,4.226598024368286,877078,0.0321588516235351
70000,1231677918,5.780304908752441,1038827,0.0382869243621826
80000,1600478722,7.475382804870605,1203342,0.0433411598205566
90000,2017599895,9.430285215377808,1369194,0.0490651130676269
