length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,253271,0.0015680789947509,8680,0.0004589557647705
2000,1011178,0.0052881240844726,19446,0.0009310245513916
3000,2275523,0.011509895324707,30923,0.0014708042144775
4000,3941069,0.0194332599639892,42796,0.0019829273223876
5000,6172094,0.0299708843231201,55207,0.0024688243865966
6000,9036579,0.0434849262237548,67735,0.0029220581054687
7000,12191720,0.0582149028778076,80647,0.00343918800354
8000,15947397,0.0757551193237304,93677,0.0040280818939208
9000,20088524,0.095994234085083,106915,0.0048060417175292
