length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,999,0.0003399848937988,4932,0.0003740787506103
2000,1999,0.0006132125854492,10864,0.0007631778717041
3000,2999,0.0009162425994873,16828,0.0011730194091796
4000,3999,0.0011782646179199,23728,0.0015661716461181
5000,4999,0.001551866531372,29804,0.0020070075988769
6000,5999,0.0018172264099121,36656,0.0023708343505859
7000,6999,0.0020761489868164,43628,0.0027801990509033
8000,7999,0.0023610591888427,51456,0.0032050609588623
9000,8999,0.0026721954345703,57820,0.0036170482635498
