length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,25378889,0.1200911998748779,120497,0.0049672126770019
20000,100100666,0.471390962600708,260854,0.010524034500122
30000,224344775,1.054291009902954,408583,0.0159051418304443
40000,397912796,1.85947585105896,561811,0.0214872360229492
50000,625523649,2.921955108642578,717970,0.0273871421813964
60000,899395666,4.201189041137695,877564,0.0317139625549316
70000,1226856979,5.729460000991821,1039129,0.0378150939941406
80000,1598828859,7.465630054473877,1203710,0.0433969497680664
90000,2026292534,9.465064287185667,1369548,0.0493590831756591
