length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,9999,0.0029070377349853,64608,0.0039489269256591
20000,19999,0.0057659149169921,139216,0.0081479549407958
30000,29999,0.0087690353393554,219504,0.0123960971832275
40000,39999,0.0117907524108886,298432,0.0171980857849121
50000,49999,0.0147578716278076,382512,0.0209248065948486
60000,59999,0.0178377628326416,469008,0.0250067710876464
70000,69999,0.0212531089782714,555200,0.0297856330871582
80000,79999,0.0252740383148193,636864,0.0355589389801025
90000,89999,0.0281779766082763,723680,0.0392041206359863
