length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
1000,499500,0.0026350021362304,5044,0.0003812313079833
2000,1999000,0.0099551677703857,11088,0.0007708072662353
3000,4498500,0.021799087524414,18076,0.0011718273162841
4000,7998000,0.0384399890899658,24176,0.001598834991455
5000,12497500,0.0594136714935302,32004,0.0021460056304931
6000,17997000,0.0851020812988281,39152,0.0025751590728759
7000,24496500,0.1150357723236084,46180,0.0029487609863281
8000,31996000,0.1511366367340088,52352,0.0033349990844726
9000,40495500,0.19022798538208,60796,0.0041048526763916
