length,insertion_sort_key_comparison,insertion_sort_time,merge_sort_key_comparison,merge_sort_time
10000,49995000,0.1405925750732422,69008,0.0
20000,199990000,0.5448830127716064,148016,0.0156490802764892
30000,449985000,1.270775556564331,227728,0.0156126022338867
40000,799980000,2.305737018585205,316032,0.0
50000,1249975000,3.5427191257476807,401952,0.0
60000,1799970000,5.046234369277954,485456,0.0156211853027343
70000,-1845002296,6.85315728187561,573728,0.0312428474426269
80000,-1095007296,9.0322527885437,672064,0.0156226158142089
90000,-245012296,11.368846893310549,765248,0.015660285949707
